title,type,listed_in,imdb_rating,description,release_year
Sex Education,TV Show,"British TV Shows, International TV Shows, TV Comedies",8.3,"Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic.",2020
Squid Game,TV Show,"International TV Shows, TV Dramas, TV Thrillers",8.0,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits — with deadly high stakes.",2021
Extraction,Movie,Action & Adventure,6.8,"When a retired CIA agent is kidnapped, his son, a government analyst, embarks on an unauthorized mission to find him and halt a terrorist plot.",2015
Lupin,TV Show,"Crime TV Shows, International TV Shows, TV Action & Adventure",7.5,"Inspired by the adventures of Arsène Lupin, gentleman thief Assane Diop sets out to avenge his father for an injustice inflicted by a wealthy family.",2021
The Platform,TV Show,"International TV Shows, TV Dramas, TV Mysteries",7.0,"A programming genius builds a fact-finding, truth-seeking internet portal while reckoning with trouble at home.",2021
Army of the Dead,Movie,"Action & Adventure, Horror Movies",5.7,"After a zombie outbreak in Las Vegas, a group of mercenaries takes the ultimate gamble by venturing into the quarantine zone for the greatest heist ever.",2021
"Love, Death & Robots",TV Show,"TV Action & Adventure, TV Horror, TV Sci-Fi & Fantasy",8.4,"Terrifying creatures, wicked surprises and dark comedy converge in this NSFW anthology of animated stories presented by Tim Miller and David Fincher.",2021
Vincenzo,TV Show,"International TV Shows, TV Comedies, TV Dramas",8.4,"During a visit to his motherland, a Korean-Italian mafia lawyer gives an unrivaled conglomerate a taste of its own medicine with a side of justice.",2021
Bridgerton,TV Show,"Romantic TV Shows, TV Dramas",7.4,The eight close-knit siblings of the Bridgerton family look for love and happiness in London high society. Inspired by Julia Quinn's bestselling novels.,2020
Alice in Borderland,TV Show,"International TV Shows, TV Action & Adventure, TV Mysteries",7.6,"An aimless gamer and his two friends find themselves in a parallel Tokyo, where they're forced to compete in a series of sadistic games to survive.",2020
The Crown,TV Show,"British TV Shows, International TV Shows, TV Dramas",8.6,This drama follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the 20th century.,2020
The Queen's Gambit,TV Show,TV Dramas,8.6,"In a 1950s orphanage, a young girl reveals an astonishing talent for chess and begins an unlikely journey to stardom while grappling with addiction.",2020
Enola Holmes,Movie,"Action & Adventure, Children & Family Movies, Dramas",6.6,"While searching for her missing mother, intrepid teen Enola Holmes uses her sleuthing skills to outsmart big brother Sherlock and help a runaway lord.",2020
Project Power,Movie,Action & Adventure,6.0,"An ex-soldier, a teen and a cop collide in New Orleans as they hunt for the source behind a dangerous new pill that grants users temporary superpowers.",2020
The Old Guard,Movie,Action & Adventure,6.7,Four undying warriors who've secretly protected humanity for centuries become targeted for their mysterious powers just as they discover a new immortal.,2020
Dark,TV Show,"Crime TV Shows, International TV Shows, TV Dramas",8.7,A missing child sets four families on a frantic hunt for answers as they unearth a mind-bending mystery that spans three generations.,2020
Kingdom,TV Show,"International TV Shows, Korean TV Shows, TV Action & Adventure",8.3,"While strange rumors about their ill king grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land.",2020
Itaewon Class,TV Show,"International TV Shows, Korean TV Shows, TV Dramas",8.2,"In a colorful Seoul neighborhood, an ex-con and his friends fight a mighty foe to make their ambitious dreams for their street bar a reality.",2020
The Witcher,TV Show,"International TV Shows, TV Action & Adventure, TV Dramas",8.0,"Geralt of Rivia, a mutated monster-hunter for hire, journeys toward his destiny in a turbulent world where people often prove more wicked than beasts.",2019
Crash Landing on You,TV Show,"International TV Shows, Korean TV Shows, Romantic TV Shows",8.7,"A paragliding mishap drops a South Korean heiress in North Korea - and into the life of an army officer, who decides he will help her hide.",2019
6 Underground,Movie,"Action & Adventure, Dramas",6.1,"After faking his death, a tech billionaire recruits a team of international operatives for a bold and bloody mission to take down a brutal dictator.",2019
The Irishman,Movie,Dramas,7.8,Hit man Frank Sheeran looks back at the secrets he kept as a loyal member of the Bufalino crime family in this acclaimed film from Martin Scorsese.,2019
Peaky Blinders,TV Show,"British TV Shows, Crime TV Shows, International TV Shows",8.8,"A notorious gang in 1919 Birmingham, England, is led by the fierce Tommy Shelby, a crime boss set on moving up in the world no matter the cost.",2019
Stranger Things,TV Show,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",8.7,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces and one strange little girl.",2019
Murder Mystery,Movie,Comedies,6.0,"On a long-awaited trip to Europe, a New York City cop and his hairdresser wife scramble to solve a baffling murder aboard a billionaire's yacht.",2019
Black Mirror,TV Show,"British TV Shows, International TV Shows, TV Dramas",8.7,"This sci-fi anthology series explores a twisted, high-tech near-future where humanity's greatest innovations and darkest instincts collide.",2019
Triple Frontier,Movie,Action & Adventure,6.4,"Loyalties are tested when five former special forces operatives reunite to steal a drug lord's fortune, unleashing a chain of unintended consequences.",2019
Bird Box,Movie,"Dramas, Sci-Fi & Fantasy, Thrillers",6.6,"Five years after an ominous unseen presence drives most of society to suicide, a survivor and her two children make a desperate bid to reach safety.",2018
Narcos,TV Show,"Crime TV Shows, TV Action & Adventure, TV Dramas",8.8,The true story of Colombia's infamously violent and powerful drug cartels fuels this gritty gangster drama series.,2017
Okja,Movie,"Action & Adventure, Comedies, Dramas",7.3,"A gentle giant and the girl who raised her are caught in the crossfire between animal activism, corporate greed and scientific ethics.",2017
